chr1_565160_565494	chr1_565106_565543
chr2_204646964_204647424	chr2_204646981_204647377
chr2_204676225_204676866	chr2_204676264_204676831
chr2_204679900_204680448	chr2_204679956_204680444
chr2_204732205_204732782	chr2_204732217_204732721
chr2_204734155_204734932	chr2_204734143_204734932
chr2_204735676_204736630	chr2_204735490_204736885
chr2_204773086_204774751	chr2_204773027_204774751
chr2_204798909_204799004	chr2_204798724_204799023
chr2_204801225_204801699	chr2_204801308_204801571
chr2_204814018_204814045	chr2_204813749_204814218
chr2_204816071_204816595	chr2_204816093_204816594
chr2_204891734_204892176	chr2_204891751_204892248
chr2_204974903_204975482	chr2_204974912_204975381
chr2_205009904_205010579	chr2_205009912_205010400
chr2_205190177_205190300	chr2_205190165_205190451
chr2_206544777_206545032	chr2_206544715_206545109
chr2_206546722_206547596	chr2_206546492_206547614
chr2_206565076_206565232	chr2_206564961_206565513
chr2_206571383_206572272	chr2_206571314_206572307
chr2_206579069_206579524	chr2_206578983_206579564
chr2_206586809_206587019	chr2_206586625_206587210
chr2_206628612_206628710	chr2_206628557_206628944
chr2_206790502_206790941	chr2_206790508_206790927
chr2_206809250_206809690	chr2_206809315_206809623
chr2_206812834_206813136	chr2_206812844_206812939
chr2_206822433_206822560	chr2_206822395_206822796
chr2_206948450_206948573	chr2_206948441_206948573
chr2_206949177_206951215	chr2_206949137_206951204
chr2_207023718_207025179	chr2_207023758_207025216
chr2_207109969_207110955	chr2_207110119_207111137
chr2_207139112_207140317	chr2_207139152_207139831
chr2_207558454_207558744	chr2_207558439_207558532
chr2_207629639_207630917	chr2_207629614_207630833
chr2_207646276_207646634	chr2_207646309_207646553
chr2_207665250_207665630	chr2_207665243_207665644
chr2_207854127_207854280	chr2_207854118_207854432
chr2_207911512_207911942	chr2_207911604_207911893
chr2_208006115_208006434	chr2_208006043_208006444
chr2_208007121_208008988	chr2_208007110_208009220
chr2_208028287_208032297	chr2_208028839_208032285
chr2_208147989_208148439	chr2_208148070_208148348
chr2_208176125_208176618	chr2_208176150_208176566
chr2_208288549_208288938	chr2_208288485_208289140
chr2_208367460_208368359	chr2_208367437_208368361
chr2_208390118_208390361	chr2_208390082_208390366
chr2_208393397_208396102	chr2_208393378_208396109
chr2_208484328_208485009	chr2_208484342_208485029
chr2_208488881_208492289	chr2_208488937_208491233
chr2_208488881_208492289	chr2_208491772_208492304
chr2_208497439_208498303	chr2_208497574_208498186
chr2_208526745_208527395	chr2_208526727_208527539
chr2_208533790_208534092	chr2_208533696_208534195
chr2_208557151_208557226	chr2_208556961_208557279
chr2_208575480_208577208	chr2_208575551_208577173
chr2_208610747_208611169	chr2_208610728_208611190
chr2_208632878_208636023	chr2_208633004_208636015
chr2_208848348_208848701	chr2_208848358_208848727
chr2_208889838_208890886	chr2_208889858_208890672
chr2_208905471_208905893	chr2_208905461_208905905
chr2_208937003_208937400	chr2_208936999_208937418
chr2_209036845_209037255	chr2_209037085_209037131
chr2_209040003_209040455	chr2_209039998_209040472
chr2_209118698_209120516	chr2_209118746_209120471
chr2_209130036_209131771	chr2_209130026_209131488
chr2_209180149_209180328	chr2_209179763_209180599
chr2_209224114_209224655	chr2_209224454_209224515
chr2_209231367_209231845	chr2_209231196_209231909
chr2_210288330_210289233	chr2_210288151_210289333
chr2_210484550_210484834	chr2_210484418_210484962
chr2_210825741_210826065	chr2_210825738_210826113
chr2_210866789_210867953	chr2_210866795_210867912
chr2_211034594_211037006	chr2_211035207_211036643
chr2_211340940_211341774	chr2_211340969_211341774
chr2_213880550_213880796	chr2_213880359_213881003
chr2_213902295_213902789	chr2_213902231_213903065
chr2_213930896_213931154	chr2_213930856_213931277
chr2_213983680_213984474	chr2_213983680_213984464
chr2_213990777_213991024	chr2_213990733_213991043
chr2_214016032_214017448	chr2_214015944_214017433
chr2_214018330_214018809	chr2_214018274_214018832
chr2_214022022_214022411	chr2_214021922_214022500
chr2_214097714_214098263	chr2_214097747_214098257
chr2_214148702_214149655	chr2_214148707_214149734
chr2_215672797_215675162	chr2_215672869_215675162
chr2_216036021_216036179	chr2_216036081_216036161
chr2_216176066_216177424	chr2_216176298_216177370
chr2_216545658_216546331	chr2_216545806_216546025
chr2_216593195_216593858	chr2_216593488_216593586
chr2_216658387_216659161	chr2_216658669_216658736
chr2_216676096_216676981	chr2_216676170_216676698
chr2_216693233_216693618	chr2_216693340_216693589
chr2_216764861_216765460	chr2_216764892_216765400
chr2_216768801_216769157	chr2_216768801_216769073
chr2_216784829_216785279	chr2_216784845_216785232
chr2_216796013_216796404	chr2_216796013_216796394
chr2_216870954_216871469	chr2_216871073_216871385
chr2_216877754_216878659	chr2_216877842_216878608
chr2_216880420_216881169	chr2_216880623_216881108
chr2_216898659_216899117	chr2_216898715_216899101
chr2_216922288_216923061	chr2_216922288_216923048
chr2_216946109_216947003	chr2_216946142_216946866
chr2_216973643_216975412	chr2_216973644_216975406
chr2_216979265_216980248	chr2_216979274_216980070
chr2_217214295_217215620	chr2_217214680_217215613
chr2_217217451_217218109	chr2_217217580_217218043
chr2_217236855_217237306	chr2_217237110_217237211
chr2_217276607_217277843	chr2_217276770_217277720
chr2_217356596_217356885	chr2_217356443_217357474
chr2_217363057_217364156	chr2_217363037_217364150
chr2_217383915_217384251	chr2_217383915_217384278
chr2_217418929_217419485	chr2_217418952_217419492
chr2_217471472_217471767	chr2_217471467_217471654
chr2_217531267_217531750	chr2_217531281_217531750
chr2_217547156_217547598	chr2_217547192_217547569
chr2_217548501_217549037	chr2_217548572_217548975
chr2_218083437_218083850	chr2_218083577_218083588
chr2_218087251_218088604	chr2_218087305_218087580
chr2_218087251_218088604	chr2_218088123_218088519
chr2_218298401_218299274	chr2_218298419_218299348
chr2_218475059_218475644	chr2_218475340_218475460
chr2_218578206_218578599	chr2_218578184_218578590
chr2_218621215_218621626	chr2_218621385_218621424
chr2_218650114_218650799	chr2_218650128_218650634
chr2_218653860_218655437	chr2_218653899_218654350
chr2_218653860_218655437	chr2_218655036_218655380
chr2_218663650_218664203	chr2_218663683_218664103
chr2_218692222_218692872	chr2_218692242_218692848
chr2_218729592_218730176	chr2_218729534_218730317
chr2_218751397_218751816	chr2_218751434_218751786
chr2_218764264_218764602	chr2_218764212_218765233
chr2_218767286_218767904	chr2_218767334_218767839
chr2_218798963_218799992	chr2_218799106_218799759
chr2_218808028_218808971	chr2_218808727_218808745
chr2_218853213_218853624	chr2_218853223_218853612
chr2_218858596_218858943	chr2_218858743_218858921
chr2_218874810_218875508	chr2_218874839_218875334
chr2_218898973_218899914	chr2_218899322_218899901
chr2_218910963_218911424	chr2_218911023_218911294
chr2_218928183_218928716	chr2_218928197_218928744
chr2_218933425_218934088	chr2_218933431_218933929
chr2_218938679_218939008	chr2_218938673_218939037
chr2_218989910_218990690	chr2_218989868_218990645
chr2_218994001_218994149	chr2_218993815_218994151
chr2_218995181_218995527	chr2_218995143_218995562
chr2_219031454_219031975	chr2_219031479_219031956
chr2_219033611_219033957	chr2_219033603_219034008
chr2_219050953_219051443	chr2_219050957_219051443
chr2_219081329_219084002	chr2_219081350_219084017
chr2_219087663_219088004	chr2_219087832_219088147
chr2_219093916_219094854	chr2_219093943_219094403
chr2_219095555_219095987	chr2_219095568_219095996
chr2_219121936_219122875	chr2_219121861_219122923
chr2_219134174_219135662	chr2_219134232_219135646
chr2_219137313_219137970	chr2_219137318_219138009
chr2_219148729_219149541	chr2_219148852_219149527
chr2_219150586_219152916	chr2_219151092_219152690
chr2_219155479_219158103	chr2_219155504_219157591
chr2_219165932_219166451	chr2_219165944_219166438
chr2_219187103_219188395	chr2_219187449_219188334
chr2_219194393_219194794	chr2_219194275_219194867
chr2_219197592_219198451	chr2_219197766_219198111
chr2_219221194_219221706	chr2_219221181_219221701
chr2_219232234_219233943	chr2_219232276_219233896
chr2_219235028_219235974	chr2_219235083_219235964
chr2_219242704_219243223	chr2_219242785_219243125
chr2_219246372_219247235	chr2_219246052_219247359
chr2_219251866_219252721	chr2_219251865_219252571
chr2_219258576_219259378	chr2_219258532_219258968
chr2_219260366_219266255	chr2_219260475_219265436
chr2_219270334_219272472	chr2_219270465_219272422
chr2_219432453_219434815	chr2_219432474_219434206
chr2_219513167_219513636	chr2_219513173_219513624
chr2_219523331_219524874	chr2_219523382_219524864
chr2_219536266_219537385	chr2_219536271_219537243
chr2_219552190_219552522	chr2_219552205_219552520
chr2_219575197_219576274	chr2_219575219_219576264
chr2_219598313_219598884	chr2_219598387_219598818
chr2_219712301_219712853	chr2_219712347_219712812
chr2_219717529_219718006	chr2_219717556_219718003
chr2_219735662_219736754	chr2_219735680_219736794
chr2_219738238_219738597	chr2_219737504_219738687
chr2_219741289_219741938	chr2_219741319_219742535
chr2_219744183_219748788	chr2_219744054_219746251
chr2_219744183_219748788	chr2_219746754_219748972
chr2_219750728_219751684	chr2_219750693_219751681
chr2_219756897_219758319	chr2_219756877_219758236
chr2_219760868_219763384	chr2_219760856_219763379
chr2_219773338_219774391	chr2_219773420_219774384
chr2_219823843_219824606	chr2_219824018_219824625
chr2_219844460_219845188	chr2_219844472_219845181
chr2_219860637_219861336	chr2_219860668_219861272
chr2_219894322_219894840	chr2_219894171_219894828
chr2_219922414_219923184	chr2_219922618_219923141
chr2_219974177_219974506	chr2_219974328_219974437
chr2_219989099_219989470	chr2_219989028_219989430
chr2_220024577_220025904	chr2_220024708_220025859
chr2_220035928_220036255	chr2_220035988_220036269
chr2_220040804_220043759	chr2_220040731_220043596
chr2_220070838_220072253	chr2_220070834_220072137
chr2_220076107_220076718	chr2_220076185_220076716
chr2_220082409_220084075	chr2_220082422_220084066
chr2_220090105_220090464	chr2_220090253_220090441
chr2_220093428_220095303	chr2_220093677_220095287
chr2_220109630_220110774	chr2_220109694_220110675
chr2_220112204_220113196	chr2_220112248_220112926
chr2_220113860_220115257	chr2_220113864_220115189
chr2_220116787_220120071	chr2_220116925_220120050
chr2_220142294_220145136	chr2_220142298_220145181
chr2_220159220_220160158	chr2_220159222_220160054
chr2_220163354_220163854	chr2_220163352_220163849
chr2_220172850_220173268	chr2_220172907_220173223
chr2_220217135_220217553	chr2_220217183_220217584
chr2_220227294_220227629	chr2_220227507_220227581
chr2_220251721_220253792	chr2_220251902_220253791
chr2_220267590_220268067	chr2_220267601_220268048
chr2_220324115_220324512	chr2_220324127_220324516
chr2_220340969_220341375	chr2_220341034_220341066
chr2_220360054_220360572	chr2_220360090_220360536
chr2_220362275_220363896	chr2_220362527_220363878
chr2_220373975_220375227	chr2_220374349_220375200
chr2_220394777_220395347	chr2_220394811_220395329
chr2_220406193_220406992	chr2_220406214_220406932
chr2_220407663_220409177	chr2_220407916_220409009
chr2_220416116_220417830	chr2_220416975_220417642
chr2_220462092_220463243	chr2_220462188_220463150
chr2_220468499_220468888	chr2_220468577_220468866
chr2_220503942_220503984	chr2_220503626_220504375
chr2_220506973_220507827	chr2_220507066_220507876
chr2_222382045_222383715	chr2_222382269_222383585
chr2_222435153_222439054	chr2_222435807_222438653
chr2_223182692_223183304	chr2_223182668_223185084
chr2_223183851_223184933	chr2_223182668_223185084
chr2_223288993_223290216	chr2_223289329_223291291
chr2_223291149_223291227	chr2_223289329_223291291
chr2_223311945_223312174	chr2_223312035_223312187
chr2_223520167_223521558	chr2_223520245_223521526
chr2_223555234_223555746	chr2_223555239_223555757
chr2_223572410_223573317	chr2_223572556_223573285
chr2_223573957_223574577	chr2_223574176_223574356
chr2_223654104_223654583	chr2_223654111_223654563
chr2_223725320_223726671	chr2_223725332_223726795
chr2_223768387_223768694	chr2_223768420_223768689
chr2_223776778_223777359	chr2_223776719_223777382
chr2_223803932_223804360	chr2_223803914_223804380
chr2_223836355_223836827	chr2_223836363_223836827
chr2_224330405_224330950	chr2_224330549_224330808
chr2_224592239_224592522	chr2_224592192_224592577
chr2_224625441_224626815	chr2_224625446_224626786
chr2_224644648_224644988	chr2_224644528_224645055
chr2_224700561_224702960	chr2_224700561_224702925
chr2_224729785_224730342	chr2_224729993_224730105
chr2_224746563_224747062	chr2_224746578_224747062
chr2_224758648_224758949	chr2_224758509_224759130
chr2_224794229_224794669	chr2_224794264_224794609
chr2_224806266_224806946	chr2_224806225_224806923
chr2_224808904_224810379	chr2_224808909_224810365
chr2_224821677_224822609	chr2_224821747_224822584
chr2_224835038_224835375	chr2_224835034_224835372
chr2_224858354_224858709	chr2_224858375_224858701
chr2_224890426_224891158	chr2_224890441_224891147
chr2_224903148_224904811	chr2_224903281_224903517
chr2_225222078_225222483	chr2_225222080_225222506
chr2_225265806_225267106	chr2_225265901_225266985
chr2_225270159_225270560	chr2_225270231_225270445
chr2_225384863_225385148	chr2_225384858_225385196
chr2_225388131_225389306	chr2_225388163_225389194
chr2_225440832_225441153	chr2_225440868_225441002
chr2_225448761_225450996	chr2_225448794_225451152
chr2_225502908_225503474	chr2_225502881_225503676
chr2_225643177_225643489	chr2_225643172_225643489
chr2_225758973_225759496	chr2_225758981_225759476
chr2_225774610_225775276	chr2_225774587_225775228
chr2_225786897_225787543	chr2_225786869_225787523
chr2_225791002_225791329	chr2_225790943_225793147
chr2_225792287_225793180	chr2_225790943_225793147
chr2_225802584_225802845	chr2_225802529_225802956
chr2_225811543_225812127	chr2_225811545_225812108
chr2_225813452_225814000	chr2_225813579_225813921
chr2_225817921_225818507	chr2_225817913_225818494
chr2_225822226_225822841	chr2_225822019_225822997
chr2_225838378_225838785	chr2_225837960_225838905
chr2_225847751_225848507	chr2_225847873_225848530
chr2_225851170_225851570	chr2_225851298_225851475
chr2_225866710_225867755	chr2_225866713_225867840
chr2_225890669_225891425	chr2_225890748_225891316
chr2_225905504_225907652	chr2_225905508_225907572
chr2_225917406_225917871	chr2_225917499_225917797
chr2_226135566_226135924	chr2_226135538_226135893
chr2_226895728_226896136	chr2_226895737_226896106
chr2_226983208_226983779	chr2_226983378_226983522
chr2_227001477_227002178	chr2_227001482_227002190
chr2_227080667_227080994	chr2_227080672_227080973
chr2_227288039_227288734	chr2_227288087_227288677
chr2_227637310_227637896	chr2_227637080_227638005
chr2_227655749_227656953	chr2_227655747_227656939
chr2_227662995_227665037	chr2_227663021_227664899
chr2_227665571_227666415	chr2_227665660_227666349
chr2_227667240_227667641	chr2_227667247_227667617
chr2_227699991_227701645	chr2_227699998_227701620
chr2_227740195_227740544	chr2_227740166_227740491
chr2_227770714_227771596	chr2_227770082_227771649
chr2_227849424_227849738	chr2_227849350_227850434
chr2_228189552_228190752	chr2_228189572_228190599
chr2_228235320_228236031	chr2_228235421_228235822
chr2_228250119_228250804	chr2_228249948_228250821
chr2_228269260_228269763	chr2_228269486_228269559
chr2_228280307_228281072	chr2_228280875_228280932
chr2_228324775_228325240	chr2_228324767_228325176
chr2_228336536_228337965	chr2_228336537_228337914
chr2_228473158_228473605	chr2_228473217_228473555
chr2_228631006_228631405	chr2_228631034_228631395
chr2_228648069_228648574	chr2_228648189_228648547
chr2_228682761_228683923	chr2_228682908_228683798
chr2_228749233_228749486	chr2_228749362_228749453
chr2_230147668_230148255	chr2_230147840_230148135
chr2_230195572_230196225	chr2_230195720_230196067
chr2_230280685_230281565	chr2_230280933_230281485
chr2_230579036_230580096	chr2_230579144_230579365
chr2_230645425_230645880	chr2_230645501_230645895
chr2_230665916_230666218	chr2_230665918_230666179
chr2_230717276_230717670	chr2_230717304_230717626
chr2_230784659_230787855	chr2_230784633_230787723
chr2_230872901_230873243	chr2_230872899_230873251
chr2_230931640_230933876	chr2_230931628_230933871
chr2_230989702_230990186	chr2_230989785_230990124
chr2_231024853_231025323	chr2_231024860_231025320
chr2_231067597_231067969	chr2_231067513_231068404
chr2_231069705_231070171	chr2_231069656_231070208
chr2_231074094_231074579	chr2_231074060_231074581
chr2_231083100_231083535	chr2_231083095_231083537
chr2_231084250_231085077	chr2_231084253_231085029
chr2_231089137_231089413	chr2_231089128_231091436
chr2_231089915_231091383	chr2_231089128_231091436
chr2_231092022_231092100	chr2_231091951_231092199
chr2_231122486_231122881	chr2_231122243_231122959
chr2_231126814_231127454	chr2_231126809_231127448
chr2_231183197_231184588	chr2_231183127_231184556
chr2_231191473_231192603	chr2_231191592_231192585
chr2_231275810_231277396	chr2_231275828_231277294
chr2_231280488_231281494	chr2_231280589_231281436
chr2_231304357_231304676	chr2_231304352_231304716
chr2_231306144_231306784	chr2_231306180_231306688
chr2_231312408_231313234	chr2_231312420_231313260
chr2_231321996_231322512	chr2_231322006_231322486
chr2_231429552_231429905	chr2_231429550_231429960
chr2_231440353_231440842	chr2_231440330_231440824
chr2_231447762_231447951	chr2_231447622_231448082
chr2_231454194_231454613	chr2_231454159_231454686
chr2_231467218_231467927	chr2_231467191_231467917
chr2_231476025_231476488	chr2_231476020_231476456
chr2_231479710_231479949	chr2_231479560_231479962
chr2_231508223_231509099	chr2_231508352_231509069
chr2_231523808_231524483	chr2_231523808_231524475
chr2_231525241_231526823	chr2_231525274_231526788
chr2_231528987_231529162	chr2_231528918_231529174
chr2_231530127_231530211	chr2_231529849_231530230
chr2_231531858_231533664	chr2_231531657_231533688
chr2_231577055_231579218	chr2_231577003_231579166
chr2_231587989_231588440	chr2_231588268_231588275
chr2_231627056_231627396	chr2_231627035_231627388
chr2_231646091_231646703	chr2_231646093_231646693
chr2_231658514_231659637	chr2_231658515_231659212
chr2_231662504_231662909	chr2_231662462_231662934
chr2_231663560_231663852	chr2_231663687_231663704
chr2_231689138_231689646	chr2_231689151_231689646
chr2_231693014_231693399	chr2_231693103_231693411
chr2_231712554_231713041	chr2_231712554_231713035
chr2_231714707_231715177	chr2_231714787_231715137
chr2_231729254_231732380	chr2_231729277_231730033
chr2_231729254_231732380	chr2_231730577_231732386
chr2_231737605_231739092	chr2_231737717_231739283
chr2_231742145_231743170	chr2_231741950_231743309
chr2_231750568_231750832	chr2_231750516_231750926
chr2_231758859_231759548	chr2_231758861_231759614
chr2_231766892_231767242	chr2_231766826_231767286
chr2_231770053_231770584	chr2_231770086_231770605
chr2_231778157_231778899	chr2_231778126_231778974
chr2_231789058_231790284	chr2_231789087_231790514
chr2_231808158_231808716	chr2_231808175_231809260
chr2_231812779_231812926	chr2_231812670_231813077
chr2_231821781_231822387	chr2_231821594_231822385
chr2_231838698_231839649	chr2_231838699_231839649
chr2_231851693_231852379	chr2_231851874_231852339
chr2_231917259_231918055	chr2_231917313_231918043
chr2_231921040_231922136	chr2_231921047_231922064
chr2_231968852_231969201	chr2_231968850_231969196
chr2_232044677_232044961	chr2_232044806_232044914
chr2_232046492_232047061	chr2_232046500_232047005
chr2_232062741_232063746	chr2_232062871_232063666
chr2_232091969_232092457	chr2_232091956_232093001
chr2_232099963_232100191	chr2_232100128_232100161
chr2_232145697_232145943	chr2_232145581_232145948
chr2_232161723_232162099	chr2_232161699_232162126
chr2_232163971_232164417	chr2_232163879_232164465
chr2_232186271_232187090	chr2_232186313_232187053
chr2_232226847_232227777	chr2_232226810_232227376
chr2_232248252_232248901	chr2_232248175_232248916
chr2_232253110_232253434	chr2_232253094_232253439
chr2_232256583_232257147	chr2_232256530_232257195
chr2_232257804_232260497	chr2_232257704_232262093
chr2_232261092_232261942	chr2_232257704_232262093
chr2_232276776_232277489	chr2_232276816_232277487
chr2_232290043_232292076	chr2_232290449_232291399
chr2_232316596_232317168	chr2_232316616_232317122
chr2_232328251_232330281	chr2_232328262_232330234
chr2_232334297_232334346	chr2_232334294_232334531
chr2_232347356_232348965	chr2_232347343_232349012
chr2_232378653_232379839	chr2_232378691_232379711
chr2_232382209_232382640	chr2_232382196_232382610
chr2_232388444_232389103	chr2_232388575_232389069
chr2_232393173_232393358	chr2_232393010_232393195
chr2_232394943_232395625	chr2_232394964_232395605
chr2_232409973_232410842	chr2_232409975_232410806
chr2_232418994_232419974	chr2_232418994_232419905
chr2_232422462_232423029	chr2_232422335_232423009
chr2_232428116_232428444	chr2_232428172_232428201
chr2_232461729_232462274	chr2_232461809_232462215
chr2_232466272_232466776	chr2_232466272_232466934
chr2_232468763_232470536	chr2_232468776_232470076
chr2_232476447_232479767	chr2_232476685_232479782
chr2_232505511_232505857	chr2_232505570_232505679
chr2_232507403_232507873	chr2_232507403_232507833
chr2_232513265_232513715	chr2_232513270_232513693
chr2_232526525_232527552	chr2_232526559_232527542
chr2_232530863_232531816	chr2_232530788_232532641
chr2_232535995_232538030	chr2_232535682_232538075
chr2_232539475_232540265	chr2_232539437_232540285
chr2_232542261_232542807	chr2_232542262_232542786
chr2_232545537_232546209	chr2_232545521_232546177
chr2_232551805_232552427	chr2_232551788_232552456
chr2_232570818_232582527	chr2_232570840_232575876
chr2_232570818_232582527	chr2_232576859_232579144
chr2_232570818_232582527	chr2_232579707_232580379
chr2_232570818_232582527	chr2_232581959_232582515
chr2_232585675_232586065	chr2_232585583_232586278
chr2_232645323_232647045	chr2_232645335_232647012
chr2_232650679_232651770	chr2_232650704_232651747
chr2_232716988_232717386	chr2_232717194_232717298
chr2_232765184_232765500	chr2_232765225_232765515
chr2_232770728_232771146	chr2_232770748_232771146
chr2_232789873_232792121	chr2_232789873_232790352
chr2_232789873_232792121	chr2_232791090_232791264
chr2_232825783_232826995	chr2_232825911_232827000
chr2_233157301_233157724	chr2_233157313_233157748
chr2_233174314_233175562	chr2_233174600_233175411
chr2_233179898_233181251	chr2_233180013_233180918
chr2_233190717_233190890	chr2_233190744_233190850
chr2_233191750_233192236	chr2_233191759_233192231
chr2_233305120_233305690	chr2_233305186_233305692
chr2_233309101_233309495	chr2_233309044_233309539
chr2_233386757_233387528	chr2_233386795_233387212
chr2_233393681_233394001	chr2_233393750_233393949
chr2_233414727_233416210	chr2_233414728_233416080
chr2_233427521_233427554	chr2_233427198_233427885
chr2_233470394_233471334	chr2_233470394_233471243
chr2_233476298_233476697	chr2_233476343_233476711
chr2_233497993_233498541	chr2_233498272_233498376
chr2_233561523_233562843	chr2_233561540_233562828
chr2_233703178_233703626	chr2_233703138_233703643
chr2_233740963_233741592	chr2_233740912_233741581
chr2_233766624_233766969	chr2_233766347_233766746
chr2_233820460_233820955	chr2_233820405_233821072
chr2_233914244_233914410	chr2_233914328_233914401
chr2_233918662_233919064	chr2_233918669_233919024
chr2_233924368_233928546	chr2_233924351_233928546
chr2_233940197_233941806	chr2_233940234_233941788
chr2_233944026_233947308	chr2_233944049_233945542
chr2_233944026_233947308	chr2_233946056_233947556
chr2_233948167_233949791	chr2_233949010_233949692
chr2_233951358_233952043	chr2_233951375_233952036
chr2_233957045_233957972	chr2_233956265_233957866
chr2_233964700_233965924	chr2_233964662_233965964
chr2_233973593_233973981	chr2_233973607_233973637
chr2_233979456_233979587	chr2_233979349_233979473
chr2_233989341_233989931	chr2_233989142_233989981
chr2_234074340_234075194	chr2_234074405_234074957
chr2_234094601_234095043	chr2_234094561_234095002
chr2_234126516_234126907	chr2_234126546_234126792
chr2_234151145_234151581	chr2_234151178_234151528
chr2_234159748_234160897	chr2_234159748_234160895
chr2_234176149_234177331	chr2_234176298_234177282
chr2_234239811_234240996	chr2_234239871_234240935
chr2_234257667_234258260	chr2_234257677_234258265
chr2_234262328_234263837	chr2_234262209_234263377
chr2_234266609_234267407	chr2_234266653_234268051
chr2_234288755_234289266	chr2_234288477_234289962
chr2_234292969_234293031	chr2_234292633_234293222
chr2_234293861_234294831	chr2_234293812_234295550
chr2_234296394_234296589	chr2_234296167_234296947
chr2_234312862_234313283	chr2_234312876_234313256
chr2_234318060_234318740	chr2_234318133_234318703
chr2_234327202_234328597	chr2_234327264_234328479
chr2_234330567_234331260	chr2_234330591_234331248
chr2_234352137_234352591	chr2_234352122_234352591
chr2_234474567_234475609	chr2_234474594_234475590
chr2_234620026_234620457	chr2_234620039_234620440
chr2_234762636_234763740	chr2_234762786_234763684
chr2_234765005_234765053	chr2_234765006_234765140
chr2_234766055_234766586	chr2_234766079_234766535
chr2_234885267_234885824	chr2_234885342_234885710
chr2_234898887_234900009	chr2_234898917_234899649
chr2_234934034_234934562	chr2_234933889_234934550
chr2_234940931_234941695	chr2_234941033_234941581
chr2_234970562_234970913	chr2_234970769_234970840
chr2_234980293_234980746	chr2_234980319_234980676
chr2_235009311_235009722	chr2_235009378_235009705
chr2_235044303_235044772	chr2_235044255_235044864
chr2_235073055_235073942	chr2_235072949_235074147
chr2_235182863_235183186	chr2_235182868_235183152
chr2_235187256_235187925	chr2_235187271_235187847
chr2_235197495_235201859	chr2_235197561_235201829
chr2_235217160_235218001	chr2_235217210_235218009
chr2_235244359_235244987	chr2_235244350_235244971
chr2_235277327_235277795	chr2_235277391_235277750
chr2_235323323_235323562	chr2_235323161_235323703
chr2_235331401_235332230	chr2_235331116_235332191
chr2_235334240_235336632	chr2_235334237_235336095
chr2_235353579_235354105	chr2_235352920_235354093
chr2_235354790_235355808	chr2_235354792_235355763
chr2_235363039_235363600	chr2_235363049_235363544
chr2_235372339_235373386	chr2_235372523_235373297
chr2_235392028_235393178	chr2_235392045_235393148
chr2_235397361_235399712	chr2_235397401_235398201
chr2_235397361_235399712	chr2_235398721_235400996
chr2_235400491_235400923	chr2_235398721_235400996
chr2_235403113_235406481	chr2_235403450_235406436
chr2_235408928_235409509	chr2_235408928_235409522
chr2_235423773_235423824	chr2_235423810_235424148
chr2_235453543_235454006	chr2_235453589_235453960
chr2_235459131_235459576	chr2_235459118_235459576
chr2_235480562_235481095	chr2_235480259_235481147
chr2_235952645_235953231	chr2_235952768_235953148
chr2_235959637_235960328	chr2_235959722_235960093
chr2_236299064_236299527	chr2_236299161_236299482
chr2_236574890_236575463	chr2_236575165_236575435
chr2_236577876_236578369	chr2_236577927_236578328
chr2_236593718_236594039	chr2_236593675_236594083
chr2_236674801_236675202	chr2_236674900_236675181
chr2_236860649_236860981	chr2_236860633_236860996
chr2_237261713_237262047	chr2_237261947_237262009
chr2_237274979_237275541	chr2_237275118_237275390
chr2_237421541_237422044	chr2_237421552_237422049
chr2_237445326_237446143	chr2_237445342_237446010
chr2_237446937_237447178	chr2_237446841_237447247
chr2_237453788_237455765	chr2_237453576_237455763
chr2_237476472_237477396	chr2_237476620_237477398
chr2_237477984_237478715	chr2_237478025_237478732
chr2_237516095_237516551	chr2_237516111_237516591
chr2_237656956_237657566	chr2_237657025_237657557
chr2_237779952_237780925	chr2_237780075_237780763
chr2_237897470_237897617	chr2_237897542_237897566
chr2_237936061_237936363	chr2_237936155_237936190
chr2_237993942_237995007	chr2_237993976_237994968
chr2_238330133_238330592	chr2_238330155_238330534
chr2_238341198_238341879	chr2_238341254_238341867
chr2_238343337_238344083	chr2_238343485_238344048
chr2_238380123_238380465	chr2_238380088_238380717
chr2_238383731_238384832	chr2_238383748_238384487
chr2_238421326_238421852	chr2_238421362_238421809
chr2_238438140_238438568	chr2_238438115_238438570
chr2_238480518_238481064	chr2_238480548_238481041
chr2_238490303_238490757	chr2_238490414_238490696
chr2_238500045_238500551	chr2_238500117_238500397
chr2_238512030_238512884	chr2_238512125_238512763
chr2_238571186_238571831	chr2_238571245_238571770
chr2_238581605_238584129	chr2_238581641_238584108
chr2_238585646_238587067	chr2_238585707_238587005
chr2_238595379_238597101	chr2_238595481_238597050
chr2_238598022_238598763	chr2_238598312_238598548
chr2_238599709_238604365	chr2_238599855_238602262
chr2_238599709_238604365	chr2_238602930_238604243
chr2_238605110_238605626	chr2_238605129_238605613
chr2_238608997_238610010	chr2_238609069_238609722
chr2_238610988_238612609	chr2_238611064_238612007
chr2_238610988_238612609	chr2_238612541_238612704
chr2_238616113_238616491	chr2_238616113_238616463
chr2_238653576_238654079	chr2_238653594_238654034
chr2_238683327_238683763	chr2_238683359_238683728
chr2_238766940_238767347	chr2_238766920_238767345
chr2_238807000_238807899	chr2_238807005_238807943
chr2_238811291_238811453	chr2_238811163_238811542
chr2_238813998_238814267	chr2_238813637_238814195
